,video_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,MOS_x,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,video_y,MOS_y,DMOS
0,BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOn.yuv,47,74,42,65,65,54,62,23,75,69,72,78,85,52,60,50,60,75,52,67,55,49,73,65,70,51,64,49,31,42,63,41,95,81,52,45,75,60.21621622,BTFB-01h12m33s,1080p,1213,1200,On,TRUE,1080p_1200,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,16.11711712
1,BTFB-01h12m33s_res2160_mu11200_sigma300_rate10924_aqOn.yuv,85,90,61,77,76,83,51,71,79,70,100,85,85,62,99,76,85,100,69,65,100,73,84,62,95,85,76,61,52,70,87,97,94,98,69,93,76,79.48648649,BTFB-01h12m33s,2160p,10924,11200,On,TRUE,2160p_11200,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,-3.153153153
2,BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOn.yuv,75,61,41,74,,65,66,26,77,44,55,62,85,70,82,50,93,83,61,83,74,75,75,68,82,74,66,61,74,75,56,79,82,68,63,41,76,67.83333333,BTFB-01h12m33s,2160p,3012,3000,On,TRUE,2160p_3000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,8.5
3,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOn.yuv,50,58,37,64,15,33,30,78,59,62,84,37,67,35,20,49,21,67,28,60,31,37,75,50,34,35,52,51,46,46,31,46,74,70,54,28,44,47.51351351,BTFB-01h12m33s,600p,703,800,On,TRUE,600p_800,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,28.81981982
4,BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOff.yuv,90,97,40,76,,78,40,89,64,41,83,60,81,63,53,82,70,95,70,86,79,82,73,67,59,74,76,63,52,59,44,61,98,74,34,74,87,69.83333333,BTFB-01h12m33s,2160p,3012,3000,Off,TRUE,2160p_3000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,6.5
5,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOff.yuv,60,61,40,60,,57,26,73,68,78,71,,59,33,42,31,36,42,50,57,64,37,46,60,59,33,50,41,44,32,52,51,63,48,26,36,41,49.34285714,BTFB-01h12m33s,600p,703,800,Off,TRUE,600p_800,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,26.99047619
7,BTFB-01h12m33s_res720_mu1500_sigma100_rate1625_aqOff.yuv,80,74,44,74,,75,26,95,83,77,76,69,76,50,59,48,65,72,46,64,75,49,67,66,62,68,71,61,21,49,65,71,80,93,49,66,78,65.11111111,BTFB-01h12m33s,720p,1625,1500,Off,TRUE,720p_1500,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,11.22222222
8,BTFB-01h12m33s_res720_mu1500_sigma100_rate1625_aqOn.yuv,79,90,44,61,,88,38,63,81,74,86,66,74,45,48,63,53,99,99,67,61,62,72,57,69,49,77,42,54,54,58,63,77,61,38,51,62,64.58333333,BTFB-01h12m33s,720p,1625,1500,On,TRUE,720p_1500,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,11.75
9,BTFB-01h12m33s_res1080_mu5400_sigma300_rate5254_aqOn.yuv,85,99,41,62,64,91,71,68,77,64,92,80,85,59,87,54,72,76,74,66,60,87,74,73,90,87,62,77,74,73,80,77,88,88,60,81,70,74.81081081,BTFB-01h12m33s,1080p,5254,5400,On,TRUE,1080p_5400,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,1.522522523
10,BTFB-01h12m33s_res2160_mu1000_sigma100_rate984_aqOn.yuv,36,26,34,37,19,26,25,8,34,42,74,51,49,42,38,20,33,54,3,34,12,39,80,43,34,33,39,41,43,24,44,25,61,90,27,16,32,36.97297297,BTFB-01h12m33s,2160p,984,1000,On,TRUE,2160p_1000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,76.33333333,39.36036036
